team,conference,CFB_Week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
Michigan,Big Ten,0,29.14610961354061,3,22.337632847852895
NC State,ACC,0,56.67964910366958,44,-0.2200307026799302
South Alabama,Sun Belt,0,49.669941352528774,26,3.2125145290637733
Northwestern,Big Ten,0,82.14756057093416,87,-10.683293046891825
Purdue,Big Ten,0,67.31289016588445,90,-11.837244205623028
San José State,Mountain West,0,61.95120015716383,82,-8.463269119215653
Penn State,Big Ten,0,40.813260584262416,11,12.791208218076786
Florida International,Conference USA,0,90.92355339447528,128,-24.576734414719375
Clemson,ACC,0,47.33268291110467,49,-0.5576983442281183
Tulane,American Athletic,0,54.07168945898968,56,-2.953638508688634
Arizona State,Big 12,0,73.22763262869199,118,-18.387769887909094
UTEP,Conference USA,0,75.64245868382123,121,-18.90361250611092
Florida State,ACC,0,41.17431818918404,13,10.62169473778935
Hawai'i,Mountain West,0,83.85868779485307,126,-22.763072773644417
Pittsburgh,ACC,0,58.02144012829299,76,-7.09166622488962
South Florida,American Athletic,0,73.66704235246198,100,-14.08023930171464
Colorado State,Mountain West,0,75.60996891590443,111,-16.68738846973114
Colorado,Big 12,0,86.17913974952914,123,-20.821337662702785
West Virginia,Big 12,0,59.11091528451354,45,-0.25757738328428603
Ole Miss,SEC,0,45.718103061329735,17,8.915564983622863
Baylor,Big 12,0,65.70972865832717,95,-13.22780264868163
Oklahoma,SEC,0,43.48888089562308,5,18.07638438909196
Navy,American Athletic,0,70.90580871576998,92,-12.3526200608941
Tulsa,American Athletic,0,75.50430362096411,98,-13.863250057781732
Virginia,ACC,0,75.8066937040972,105,-15.019038689393478
Nevada,Mountain West,0,89.30697745634974,124,-20.940466544505007
Rutgers,Big Ten,0,70.88317390689805,79,-8.061636443491972
South Carolina,SEC,0,67.01688963522244,58,-3.0732245137071303
Louisiana,Sun Belt,0,61.0446992864375,81,-8.415687838855138
Arkansas State,Sun Belt,0,80.65445485791736,114,-17.23492329300183
Boston College,ACC,0,74.96731704723864,97,-13.860371727085308
Ohio,Mid-American,0,63.39533335753841,55,-2.944613192919385
Florida Atlantic,American Athletic,0,69.54085263963529,84,-8.636833228141324
Army,American Athletic,0,67.00906961756169,54,-2.5536632222805475
Iowa,Big Ten,0,68.54264746553416,69,-5.605538378956288
Arkansas,SEC,0,59.63400570810353,51,-2.2510462256250467
Central Michigan,Mid-American,0,73.12315750812903,116,-17.736603878734197
UL Monroe,Sun Belt,0,88.01748147743542,132,-26.982855719305192
Minnesota,Big Ten,0,66.39538477295507,65,-5.216520313916645
UConn,FBS Independents,0,85.56249048401622,125,-22.655111691976877
Akron,Mid-American,0,89.43837672523952,129,-24.786435949200325
Louisville,ACC,0,49.516680860393166,24,5.145266931120647
North Carolina,ACC,0,51.19373099883105,34,1.514811848525576
Texas Tech,Big 12,0,62.68347792150489,60,-3.459587560340791
UNLV,Mountain West,0,69.43707095490984,67,-5.523043529704998
Kansas State,Big 12,0,45.64647621577457,10,14.466791199476075
Southern Miss,Sun Belt,0,82.43036658265694,117,-18.095565594509857
Louisiana Tech,Conference USA,0,84.10507695733669,119,-18.54582329058428
